model,depth,epoch,train_acc,test_acc
GCN,2,1,0.2631578947368421,0.25
GCN,2,2,0.3026315789473684,0.25
GCN,2,3,0.3026315789473684,0.25
GCN,2,4,0.3026315789473684,0.2
GCN,2,5,0.3026315789473684,0.2
GCN,2,6,0.3157894736842105,0.2
GCN,2,7,0.32894736842105265,0.2
GCN,2,8,0.32894736842105265,0.2
GCN,2,9,0.32894736842105265,0.2
GCN,2,10,0.3684210526315789,0.2
GCN,2,11,0.35526315789473684,0.2
GCN,2,12,0.3815789473684211,0.2
GCN,2,13,0.34210526315789475,0.15
GCN,2,14,0.3026315789473684,0.15
GCN,2,15,0.3815789473684211,0.15
GCN,2,16,0.34210526315789475,0.15
GCN,2,17,0.3815789473684211,0.15
GCN,2,18,0.34210526315789475,0.05
GCN,2,19,0.34210526315789475,0.05
GCN,2,20,0.3815789473684211,0.0
GCN,2,21,0.34210526315789475,0.0
GCN,2,22,0.3157894736842105,0.0
GCN,2,23,0.32894736842105265,0.0
GCN,2,24,0.35526315789473684,0.0
GCN,2,25,0.32894736842105265,0.0
GCN,2,26,0.34210526315789475,0.0
GCN,2,27,0.32894736842105265,0.0
GCN,2,28,0.35526315789473684,0.0
GCN,2,29,0.3157894736842105,0.0
GCN,2,30,0.3157894736842105,0.0
GCN,2,31,0.3815789473684211,0.0
GCN,2,32,0.3157894736842105,0.0
GCN,2,33,0.35526315789473684,0.0
GCN,2,34,0.35526315789473684,0.0
GCN,2,35,0.35526315789473684,0.0
GCN,2,36,0.39473684210526316,0.0
GCN,2,37,0.35526315789473684,0.0
GCN,2,38,0.4342105263157895,0.0
GCN,2,39,0.39473684210526316,0.0
GCN,2,40,0.39473684210526316,0.0
GCN,2,41,0.42105263157894735,0.0
GCN,2,42,0.39473684210526316,0.0
GCN,2,43,0.3815789473684211,0.0
GCN,2,44,0.42105263157894735,0.0
GCN,2,45,0.42105263157894735,0.0
GCN,2,46,0.4605263157894737,0.0
GCN,2,47,0.42105263157894735,0.0
GCN,2,48,0.40789473684210525,0.0
GCN,2,49,0.3815789473684211,0.0
GCN,2,50,0.3815789473684211,0.0
GCN,2,51,0.40789473684210525,0.0
GCN,2,52,0.40789473684210525,0.0
GCN,2,53,0.5,0.0
GCN,2,54,0.47368421052631576,0.0
GCN,2,55,0.4605263157894737,0.0
GCN,2,56,0.5,0.0
GCN,2,57,0.5,0.0
GCN,2,58,0.5131578947368421,0.0
GCN,2,59,0.4868421052631579,0.0
GCN,2,60,0.5131578947368421,0.0
GCN,2,61,0.5263157894736842,0.0
GCN,2,62,0.5394736842105263,0.0
GCN,2,63,0.5526315789473685,0.0
GCN,2,64,0.5131578947368421,0.0
GCN,2,65,0.5526315789473685,0.0
GCN,2,66,0.5263157894736842,0.0
GCN,2,67,0.5263157894736842,0.0
GCN,2,68,0.6052631578947368,0.0
GCN,2,69,0.618421052631579,0.0
GCN,2,70,0.6052631578947368,0.0
GCN,2,71,0.5526315789473685,0.0
GCN,2,72,0.631578947368421,0.0
GCN,2,73,0.618421052631579,0.0
GCN,2,74,0.618421052631579,0.0
GCN,2,75,0.6447368421052632,0.0
GCN,2,76,0.6447368421052632,0.0
GCN,2,77,0.6842105263157895,0.0
GCN,2,78,0.631578947368421,0.0
GCN,2,79,0.6842105263157895,0.0
GCN,2,80,0.6842105263157895,0.0
GCN,2,81,0.6842105263157895,0.0
GCN,2,82,0.7105263157894737,0.0
GCN,2,83,0.7105263157894737,0.0
GCN,2,84,0.7236842105263158,0.0
GCN,2,85,0.6578947368421053,0.0
GCN,2,86,0.6973684210526315,0.0
GCN,2,87,0.7368421052631579,0.0
GCN,2,88,0.7894736842105263,0.0
GCN,2,89,0.8026315789473685,0.0
GCN,2,90,0.75,0.0
GCN,2,91,0.8421052631578947,0.0
GCN,2,92,0.8552631578947368,0.0
GCN,2,93,0.8157894736842105,0.0
GCN,2,94,0.8552631578947368,0.0
GCN,2,95,0.8026315789473685,0.0
GCN,2,96,0.8421052631578947,0.0
GCN,2,97,0.8157894736842105,0.0
GCN,2,98,0.8289473684210527,0.0
GCN,2,99,0.8552631578947368,0.0
GCN,2,100,0.881578947368421,0.0
GCN,2,101,0.9078947368421053,0.0
GCN,2,102,0.8947368421052632,0.0
GCN,2,103,0.9078947368421053,0.0
GCN,2,104,0.9210526315789473,0.0
GCN,2,105,0.881578947368421,0.0
GCN,2,106,0.9342105263157895,0.0
GCN,2,107,0.9342105263157895,0.0
GCN,2,108,0.9342105263157895,0.0
GCN,2,109,0.9342105263157895,0.0
GCN,2,110,0.9473684210526315,0.0
GCN,2,111,0.9342105263157895,0.0
GCN,2,112,0.9342105263157895,0.0
GCN,2,113,0.9210526315789473,0.0
GCN,2,114,0.9473684210526315,0.0
GCN,2,115,0.9605263157894737,0.0
GCN,2,116,0.9342105263157895,0.0
GCN,2,117,0.9736842105263158,0.0
GCN,2,118,0.9473684210526315,0.0
GCN,2,119,0.9736842105263158,0.0
GCN,2,120,0.9473684210526315,0.0
GCN,2,121,0.9736842105263158,0.0
GCN,2,122,0.9473684210526315,0.0
GCN,2,123,0.9605263157894737,0.0
GCN,2,124,0.9736842105263158,0.0
GCN,2,125,0.9605263157894737,0.0
GCN,2,126,1.0,0.0
GCN,2,127,0.9868421052631579,0.0
GCN,2,128,0.9868421052631579,0.0
GCN,2,129,0.9736842105263158,0.0
GCN,2,130,0.9736842105263158,0.0
GCN,2,131,0.9736842105263158,0.0
GCN,2,132,0.9605263157894737,0.0
GCN,2,133,0.9736842105263158,0.0
GCN,2,134,0.9868421052631579,0.0
GCN,2,135,1.0,0.05
GCN,2,136,1.0,0.0
GCN,2,137,0.9868421052631579,0.0
GCN,2,138,1.0,0.0
GCN,2,139,1.0,0.0
GCN,2,140,0.9868421052631579,0.0
GCN,2,141,1.0,0.0
GCN,2,142,1.0,0.0
GCN,2,143,0.9868421052631579,0.0
GCN,2,144,0.9868421052631579,0.0
GCN,2,145,0.9868421052631579,0.0
GCN,2,146,1.0,0.0
GCN,2,147,1.0,0.05
GCN,2,148,1.0,0.05
GCN,2,149,1.0,0.05
GCN,2,150,1.0,0.05
GCN,2,151,1.0,0.05
GCN,2,152,1.0,0.0
GCN,2,153,1.0,0.05
GCN,2,154,1.0,0.05
GCN,2,155,1.0,0.05
GCN,2,156,1.0,0.05
GCN,2,157,1.0,0.05
GCN,2,158,1.0,0.05
GCN,2,159,1.0,0.05
GCN,2,160,1.0,0.05
GCN,2,161,1.0,0.05
GCN,2,162,0.9868421052631579,0.0
GCN,2,163,1.0,0.05
GCN,2,164,1.0,0.1
GCN,2,165,1.0,0.1
GCN,2,166,1.0,0.1
GCN,2,167,1.0,0.15
GCN,2,168,1.0,0.1
